feature_name,feature_class
energy,FirstOrderFeatures
total_energy,FirstOrderFeatures
entropy,FirstOrderFeatures
minimum,FirstOrderFeatures
maximum,FirstOrderFeatures
mean,FirstOrderFeatures
median,FirstOrderFeatures
standard_deviation,FirstOrderFeatures
mean_absolute_deviation,FirstOrderFeatures
robust_mean_absolute_deviation,FirstOrderFeatures
root_mean_squared,FirstOrderFeatures
skewness,FirstOrderFeatures
kurtosis,FirstOrderFeatures
variance,FirstOrderFeatures
uniformity,FirstOrderFeatures
percentile_10,FirstOrderFeatures
percentile_90,FirstOrderFeatures
interquartile_range,FirstOrderFeatures
range,FirstOrderFeatures
mesh_volume,Shape3DFeatures
voxel_count,Shape3DFeatures
surface_area,Shape3DFeatures
surface_volume_ratio,Shape3DFeatures
sphericity_3d,Shape3DFeatures
compactness1,Shape3DFeatures
compactness2,Shape3DFeatures
spherical_disproportion_3d,Shape3DFeatures
maximum_3d_diameter,Shape3DFeatures
major_axis_length_3d,Shape3DFeatures
minor_axis_length_3d,Shape3DFeatures
least_axis_length,Shape3DFeatures
elongation_3d,Shape3DFeatures
flatness,Shape3DFeatures
pixel_surface,Shape2DFeatures
perimeter,Shape2DFeatures
perimeter_to_surface_ratio,Shape2DFeatures
sphericity_2d,Shape2DFeatures
spherical_disproportion_2d,Shape2DFeatures
maximum_2d_diameter,Shape2DFeatures
major_axis_length_2d,Shape2DFeatures
minor_axis_length_2d,Shape2DFeatures
elongation_2d,Shape2DFeatures
circularity,Shape2DFeatures
glcm_autocorrelation,GLCMFeatures
glcm_joint_average,GLCMFeatures
glcm_cluster_prominence,GLCMFeatures
glcm_cluster_shade,GLCMFeatures
glcm_cluster_tendency,GLCMFeatures
glcm_contrast,GLCMFeatures
glcm_correlation,GLCMFeatures
glcm_difference_average,GLCMFeatures
glcm_difference_entropy,GLCMFeatures
glcm_difference_variance,GLCMFeatures
glcm_joint_energy,GLCMFeatures
glcm_joint_entropy,GLCMFeatures
glcm_imc1,GLCMFeatures
glcm_imc2,GLCMFeatures
glcm_idm,GLCMFeatures
glcm_idmn,GLCMFeatures
glcm_inverse_difference,GLCMFeatures
glcm_idn,GLCMFeatures
glcm_inverse_variance,GLCMFeatures
glcm_maximum_probability,GLCMFeatures
glcm_sum_average,GLCMFeatures
glcm_sum_entropy,GLCMFeatures
glcm_sum_squares,GLCMFeatures
glszm_sae,GLSZMFeatures
glszm_lae,GLSZMFeatures
glszm_gln,GLSZMFeatures
glszm_glnn,GLSZMFeatures
glszm_szn,GLSZMFeatures
glszm_sznn,GLSZMFeatures
glszm_zone_percentage,GLSZMFeatures
glszm_gray_level_variance,GLSZMFeatures
glszm_zone_variance,GLSZMFeatures
glszm_zone_entropy,GLSZMFeatures
glszm_lglze,GLSZMFeatures
glszm_hglze,GLSZMFeatures
glszm_salgle,GLSZMFeatures
glszm_sahgle,GLSZMFeatures
glszm_lalgle,GLSZMFeatures
glszm_lahgle,GLSZMFeatures
glrlm_sre,GLRLMFeatures
glrlm_lre,GLRLMFeatures
glrlm_gln,GLRLMFeatures
glrlm_glnn,GLRLMFeatures
glrlm_rln,GLRLMFeatures
glrlm_rlnn,GLRLMFeatures
glrlm_rp,GLRLMFeatures
glrlm_glv,GLRLMFeatures
glrlm_rv,GLRLMFeatures
glrlm_re,GLRLMFeatures
glrlm_lglre,GLRLMFeatures
glrlm_hglre,GLRLMFeatures
glrlm_srlgle,GLRLMFeatures
glrlm_srhgle,GLRLMFeatures
glrlm_lrlgle,GLRLMFeatures
glrlm_lrhgle,GLRLMFeatures
ngtdm_coarseness,NGTDMFeatures
ngtdm_contrast,NGTDMFeatures
ngtdm_busyness,NGTDMFeatures
ngtdm_complexity,NGTDMFeatures
ngtdm_strength,NGTDMFeatures
gldm_sde,GLDMFeatures
gldm_lde,GLDMFeatures
gldm_gln,GLDMFeatures
gldm_glnn,GLDMFeatures
gldm_dn,GLDMFeatures
gldm_dnn,GLDMFeatures
gldm_glv,GLDMFeatures
gldm_dv,GLDMFeatures
gldm_de,GLDMFeatures
gldm_lgle,GLDMFeatures
gldm_hgle,GLDMFeatures
gldm_sdlgle,GLDMFeatures
gldm_sdhgle,GLDMFeatures
gldm_ldlgle,GLDMFeatures
gldm_ldhgle,GLDMFeatures
